Process,Image Path,Missing DLL,Found DLL,Integrity,Command Line
"Demo.exe","E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\Demo.exe","E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\en-US\FastReport.Bars.resources.dll","","Medium","""E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\Demo.exe"" "
"Demo.exe","E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\Demo.exe","E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\en\FastReport.Bars.resources.dll","","Medium","""E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\Demo.exe"" "
"Demo.exe","E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\Demo.exe","E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\en-US\Demo.resources.dll","","Medium","""E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\Demo.exe"" "
"Demo.exe","E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\Demo.exe","E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\en\Demo.resources.dll","","Medium","""E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\Demo.exe"" "
"Demo.exe","E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\Demo.exe","E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\System.dll","C:\Program Files\dotnet\shared\Microsoft.NETCore.App\6.0.4\System.dll","Medium","""E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\Demo.exe"" "
"Demo.exe","E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\Demo.exe","E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\System.Data.dll","C:\Program Files\dotnet\shared\Microsoft.NETCore.App\6.0.4\System.Data.dll","Medium","""E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\Demo.exe"" "
"Demo.exe","E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\Demo.exe","E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\System.Xml.dll","C:\Program Files\dotnet\shared\Microsoft.NETCore.App\6.0.4\System.Xml.dll","Medium","""E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\Demo.exe"" "
"Demo.exe","E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\Demo.exe","E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\en-US\FastReport.resources.dll","","Medium","""E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\Demo.exe"" "
"Demo.exe","E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\Demo.exe","E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\en\FastReport.resources.dll","","Medium","""E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\Demo.exe"" "
"Demo.exe","E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\Demo.exe","E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\en-US\FastReport.Editor.resources.dll","","Medium","""E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\Demo.exe"" "
"Demo.exe","E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\Demo.exe","E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\en\FastReport.Editor.resources.dll","","Medium","""E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\Demo.exe"" "
"Demo.exe","E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\Demo.exe","E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\en-US\System.Data.SqlClient.resources.dll","","Medium","""E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\Demo.exe"" "
"Demo.exe","E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\Demo.exe","E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\en\System.Data.SqlClient.resources.dll","","Medium","""E:\Work\FastReport.CoreWin_Demo\CoreWin 2023.1.7 Demo\Demo.exe"" "
